GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs32.livecode.dispatcher.server,Server,52,147,2,2,13,33,2,4,1,3
s0,edu.brown.cs32.livecode.dispatcher.server,HoursDispatcher,14,101,5,11,5,36,5,6,0,3
s0,edu.brown.cs32.livecode.dispatcher.handlers,GetInfoHandler,216,151,28,12,59,35,18,6,0,4
s0,edu.brown.cs32.livecode.dispatcher.handlers,SessionHandler,0,108,0,10,0,29,0,7,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,AddDebuggingPartnerHandler,0,62,0,6,0,17,0,5,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,AddHelpRequesterHandler,0,80,0,8,0,22,0,6,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,EscalateHandler,8,63,1,7,2,18,1,5,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,AddHelpRequesterHandler.FailureResponse,0,26,0,0,0,3,0,4,0,4
s0,edu.brown.cs32.livecode.dispatcher.handlers,DownloadInfoHandler,112,42,4,6,31,13,4,3,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,IsInstructorHandler,0,60,0,6,0,14,0,5,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,AddHelpRequesterHandler.SuccessResponse,0,31,0,0,0,5,0,5,0,5
s0,edu.brown.cs32.livecode.dispatcher.handlers,HelpRequesterDoneHandler,17,68,4,8,3,20,3,5,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,GetInfoHandler.HelpRequesterInfoSuccessResponse,11,83,0,0,2,10,1,12,1,12
s0,edu.brown.cs32.livecode.dispatcher.handlers,DebuggingPartnerDoneHandler,23,71,4,8,3,21,3,5,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,GetInfoHandler.DebuggingPartnerInfoSuccessResponse,11,89,0,0,2,9,1,13,1,13
s0,edu.brown.cs32.livecode.dispatcher.handlers,SubmitDebuggingQuestionsHandler,0,128,0,14,0,37,0,9,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,FlagAndRematchHandler,43,94,5,11,12,27,3,7,0,2
s0,edu.brown.cs32.livecode.dispatcher.handlers,GetInfoHandler.AllInfoSuccessResponse,0,73,0,0,0,5,0,11,0,11
s0,edu.brown.cs32.livecode.dispatcher.utils,Utils,0,42,0,0,0,10,0,4,0,4
s0,edu.brown.cs32.livecode.dispatcher.helpRequester,HelpRequesterQueue,35,330,22,30,8,90,20,21,1,14
s0,edu.brown.cs32.livecode.dispatcher.helpRequester,HelpRequester,0,66,0,0,0,25,0,13,0,13
s0,edu.brown.cs32.livecode.dispatcher.sessionState,SessionState,0,42,0,0,0,18,0,9,0,9
s0,edu.brown.cs32.livecode.dispatcher.sessionState,CsvWriter,15,242,2,10,7,69,2,8,0,4
s0,edu.brown.cs32.livecode.dispatcher.debuggingPartner,DebuggingPartner,11,105,1,5,2,34,1,16,0,14
s0,edu.brown.cs32.livecode.dispatcher.debuggingPartner,DebuggingPartnerQueue,0,204,4,20,0,52,4,17,0,9
